V(B) I(B)
1.54 0.2
1.67 0.84
1.77 2.7
1.86 5.48
2.06 13.45
2.18 15.5
2.3 16.04
2.42 15.75
2.58 14.69
3.04 11.58
3.33 10.44
3.5 10.07
3.99 9
4.02 8.98
4.66 8.14
4.99 7.8
5.27 7.59
5.63 7.32
6.18 6.96
6.56 6.83
6.94 6.75
7.17 6.74
7.6 6.75
8.27 6.95
8.45 7.05
9.112 7.48
9.763 7.64 
10.613 9.66
11.158 10.35

